tract_id,county_fips,n_units,MBT,pct_share,n_buildings,avg_sq_ft,TIV_per_unit,TIV_total,peak_gust_mph
12071010111,12071,921,S1,0.03,28,2200.0,341000.0,9548000.0,155.3
12071040138,12071,17303,W1,0.52,8998,1800.0,198000.0,1781604000.0,136.2
12071040138,12071,17303,MH,0.3,5191,900.0,49500.0,256954500.0,136.2
12071040138,12071,17303,M1,0.1,1730,1600.0,192000.0,332160000.0,136.2
12071040138,12071,17303,C1,0.05,865,2000.0,280000.0,242200000.0,136.2
12071040138,12071,17303,S1,0.03,519,2200.0,341000.0,176979000.0,136.2
12071050317,12071,333,W1,0.52,173,1800.0,198000.0,34254000.0,131.2
12071050317,12071,333,MH,0.3,100,900.0,49500.0,4950000.0,131.2
12071050317,12071,333,M1,0.1,33,1600.0,192000.0,6336000.0,131.2
12071050317,12071,333,C1,0.05,17,2000.0,280000.0,4760000.0,131.2
12071050317,12071,333,S1,0.03,10,2200.0,341000.0,3410000.0,131.2
12071050502,12071,587,W1,0.52,305,1800.0,198000.0,60390000.0,123.3
12071050502,12071,587,MH,0.3,176,900.0,49500.0,8712000.0,123.3
12071050502,12071,587,M1,0.1,59,1600.0,192000.0,11328000.0,123.3
12071050502,12071,587,C1,0.05,29,2000.0,280000.0,8120000.0,123.3
12071050502,12071,587,S1,0.03,18,2200.0,341000.0,6138000.0,123.3
12071050501,12071,205,W1,0.52,107,1800.0,198000.0,21186000.0,125.4
12071050501,12071,205,MH,0.3,62,900.0,49500.0,3069000.0,125.4
12071050501,12071,205,M1,0.1,20,1600.0,192000.0,3840000.0,125.4
12071050501,12071,205,C1,0.05,10,2000.0,280000.0,2800000.0,125.4
12071050501,12071,205,S1,0.03,6,2200.0,341000.0,2046000.0,125.4
12071050213,12071,279,W1,0.52,145,1800.0,198000.0,28710000.0,141.2
12071050213,12071,279,MH,0.3,84,900.0,49500.0,4158000.0,141.2
12071050213,12071,279,M1,0.1,28,1600.0,192000.0,5376000.0,141.2
12071050213,12071,279,C1,0.05,14,2000.0,280000.0,3920000.0,141.2
12071050213,12071,279,S1,0.03,8,2200.0,341000.0,2728000.0,141.2
