tract_id,total_TIV,expected_loss,n_buildings,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,MDR,loss_ratio,TIV_M,loss_M
12071040313,52347000.0,27183500.1,325,136.7,15.0,33.0,57.0,70.0,150.0,0.5192943263224253,0.5192943263224253,52.35,27.18
12071040314,167908500.0,85000079.85,1042,134.9,49.0,112.0,188.0,226.0,467.0,0.5062285700247456,0.5062285700247456,167.91,85.0
12071040315,89438000.0,47464219.8,554,138.4,24.0,55.0,95.0,120.0,262.0,0.5306941098861782,0.5306941098861782,89.44,47.46
12071040316,48124500.0,25951336.95,298,139.6,11.0,30.0,51.0,63.0,143.0,0.5392541626406508,0.5392541626406508,48.12,25.95
12071050103,56992000.0,32667877.5,353,144.6,11.0,30.0,55.0,75.0,182.0,0.5732011071729366,0.5732011071729366,56.99,32.67
12071050104,216033000.0,123588416.1,1340,144.3,43.0,113.0,211.0,282.0,690.0,0.5720811917623696,0.5720811917623696,216.03,123.59
12071050105,104248000.0,62565503.2,647,148.5,17.0,49.0,97.0,134.0,353.0,0.6001602256158391,0.6001602256158391,104.25,62.57
12071050106,156677000.0,92730466.9,972,147.3,27.0,75.0,147.0,201.0,520.0,0.5918575598205225,0.5918575598205225,156.68,92.73
12071050204,34694000.0,19521097.2,215,142.9,7.0,19.0,35.0,45.0,108.0,0.562664933417882,0.562664933417882,34.69,19.52
12071050205,45337500.0,26526150.3,282,146.1,9.0,22.0,43.0,59.0,149.0,0.5850818924731183,0.5850818924731183,45.34,26.53
12071050206,22347000.0,12837788.1,139,144.6,4.0,12.0,22.0,29.0,73.0,0.5744747885622231,0.5744747885622231,22.35,12.84
12071050207,39801500.0,22475432.45,248,143.0,9.0,22.0,39.0,53.0,126.0,0.5646880758262879,0.5646880758262879,39.8,22.48
12071050208,48817500.0,28045266.75,303,144.6,10.0,26.0,48.0,64.0,157.0,0.5744920725149792,0.5744920725149792,48.82,28.05
12071050210,46514000.0,25028192.9,288,139.4,11.0,28.0,48.0,61.0,139.0,0.5380787053360279,0.5380787053360279,46.51,25.03
12071050211,26272500.0,14149560.3,163,139.4,6.0,16.0,28.0,35.0,78.0,0.5385692377961747,0.5385692377961747,26.27,14.15
12071050212,32050000.0,18045286.0,199,143.0,7.0,18.0,31.0,41.0,101.0,0.5630354446177848,0.5630354446177848,32.05,18.05
12071050213,44892000.0,24751507.8,279,141.2,11.0,26.0,46.0,59.0,139.0,0.5513567628976209,0.5513567628976209,44.89,24.75
12071050305,180398500.0,88593954.75,1118,132.9,57.0,128.0,206.0,242.0,484.0,0.4911013935814322,0.4911013935814322,180.4,88.59
12071050306,64496000.0,33846784.4,400,137.5,17.0,40.0,70.0,86.0,187.0,0.5247888923344083,0.5247888923344083,64.5,33.85
12071050311,179222000.0,89126425.0,1112,133.7,55.0,124.0,203.0,242.0,489.0,0.4972962303735032,0.4972962303735032,179.22,89.13
12071050312,2018534500.0,879301667.8000001,12518,125.5,863.0,1696.0,2519.0,2698.0,4739.0,0.4356138910680001,0.4356138910680001,2018.53,879.3
12071050315,54347500.0,26978473.75,337,133.6,17.0,38.0,62.0,73.0,148.0,0.4964068954413727,0.4964068954413727,54.35,26.98
12071050316,96546000.0,49270332.6,599,135.5,28.0,64.0,108.0,131.0,271.0,0.510330128643341,0.510330128643341,96.55,49.27
12071050317,53710000.0,25698261.6,333,131.2,18.0,39.0,62.0,73.0,139.0,0.4784632582386892,0.4784632582386892,53.71,25.7
12071050318,146001000.0,70360510.2,906,131.6,49.0,107.0,170.0,197.0,385.0,0.4819180019314936,0.4819180019314936,146.0,70.36
12071050319,192157500.0,105527154.3,1191,141.0,43.0,110.0,197.0,254.0,586.0,0.5491701042113891,0.5491701042113891,192.16,105.53
12071050320,78174000.0,42016412.7,485,139.3,18.0,47.0,83.0,103.0,233.0,0.537472979507253,0.537472979507253,78.17,42.02
12071050321,81703000.0,42497320.4,507,136.8,22.0,52.0,89.0,109.0,234.0,0.5201439408589648,0.5201439408589648,81.7,42.5
12071050322,68025500.0,34559035.9,422,135.2,19.0,46.0,75.0,92.0,190.0,0.5080306046997082,0.5080306046997082,68.03,34.56
